ファイル名：	C:\TAData\菊池_貝良塚\1Sn9Zn菊池_貝良塚.tad

[ファイル情報]
ファイル名：	1Sn9Zn菊池_貝良塚.tad
試料名：	1Sn9Zn（菊池貝良塚）
ロット番号：	1
収集日：	24/10/10
収集時間：	14:27:13(+0900)
機種名：	DTG-60
機体番号：	C30564500399TK
雰囲気ガス：	アルゴン
ガス流量：	50[ml/min]
セル：	アルミニウム
試料量：	45.436[mg]
試料分子量：	0.00


[測定プログラム]
[データ取込条件]
サンプリング間隔[ sec ] ：	1.0
収集開始条件：	測定開始と同時に開始
収集終了条件：	測定終了と同時に終了


[温度プログラム]
加熱速度	ホールド温度	ホールド時間
[ﾟC/min ]	[  ﾟC   ]	[  min  ]
20.00	500.0	10
-20.00	30.0	0


[データ]
Time	Temp	DTA	TGA
sec	ﾟC	uV	mg
0.00	23.34	-4.66	45.43
1.00	23.37	-4.66	45.43
2.00	23.40	-4.66	45.43
3.00	23.39	-4.66	45.43
4.00	23.43	-4.65	45.43
5.00	23.45	-4.64	45.43
6.00	23.54	-4.62	45.43
7.00	23.61	-4.57	45.43
8.00	23.75	-4.49	45.43
9.00	23.90	-4.39	45.43
10.00	24.00	-4.25	45.43
11.00	24.12	-4.08	45.43
12.00	24.21	-3.89	45.43
13.00	24.34	-3.68	45.43
14.00	24.43	-3.45	45.44
15.00	24.58	-3.22	45.44
16.00	24.72	-2.99	45.44
17.00	24.81	-2.75	45.44
18.00	24.93	-2.52	45.44
19.00	25.01	-2.29	45.44
20.00	25.13	-2.06	45.44
21.00	25.23	-1.84	45.44
22.00	25.39	-1.63	45.44
23.00	25.54	-1.41	45.44
24.00	25.64	-1.20	45.44
25.00	25.78	-0.98	45.44
26.00	25.89	-0.77	45.44
27.00	26.04	-0.55	45.44
28.00	26.16	-0.32	45.44
29.00	26.35	-0.10	45.44
30.00	26.53	0.13	45.44
31.00	26.65	0.36	45.44
32.00	26.81	0.59	45.44
33.00	26.94	0.82	45.44
34.00	27.10	1.06	45.44
35.00	27.25	1.30	45.44
36.00	27.44	1.53	45.44
37.00	27.63	1.77	45.44
38.00	27.77	2.01	45.44
39.00	27.95	2.25	45.44
40.00	28.09	2.50	45.44
41.00	28.28	2.74	45.44
42.00	28.44	2.98	45.44
43.00	28.65	3.22	45.44
44.00	28.85	3.47	45.44
45.00	29.00	3.71	45.44
46.00	29.19	3.96	45.44
47.00	29.35	4.21	45.44
48.00	29.55	4.45	45.44
49.00	29.73	4.70	45.44
50.00	29.95	4.95	45.44
51.00	30.16	5.20	45.44
52.00	30.33	5.46	45.44
53.00	30.53	5.71	45.44
54.00	30.70	5.97	45.44
55.00	30.90	6.22	45.44
56.00	31.09	6.48	45.44
57.00	31.32	6.74	45.44
58.00	31.55	6.99	45.44
59.00	31.73	7.25	45.44
60.00	31.94	7.51	45.44
61.00	32.13	7.78	45.44
62.00	32.35	8.04	45.44
63.00	32.54	8.30	45.44
64.00	32.79	8.56	45.44
65.00	33.04	8.83	45.44
66.00	33.23	9.09	45.44
67.00	33.45	9.36	45.44
68.00	33.65	9.62	45.44
69.00	33.88	9.89	45.44
70.00	34.09	10.16	45.44
71.00	34.35	10.42	45.44
72.00	34.60	10.69	45.44
73.00	34.81	10.96	45.44
74.00	35.04	11.23	45.44
75.00	35.25	11.50	45.44
76.00	35.50	11.76	45.44
77.00	35.72	12.03	45.44
78.00	35.99	12.30	45.44
79.00	36.26	12.57	45.44
80.00	36.47	12.84	45.44
81.00	36.72	13.11	45.44
82.00	36.93	13.38	45.44
83.00	37.19	13.65	45.44
84.00	37.42	13.92	45.44
85.00	37.70	14.19	45.44
86.00	37.98	14.47	45.44
87.00	38.20	14.74	45.44
88.00	38.47	15.01	45.44
89.00	38.70	15.29	45.44
90.00	38.96	15.56	45.44
91.00	39.21	15.84	45.44
92.00	39.49	16.11	45.44
93.00	39.78	16.39	45.44
94.00	40.01	16.67	45.44
95.00	40.27	16.94	45.44
96.00	40.51	17.22	45.44
97.00	40.77	17.50	45.44
98.00	41.02	17.78	45.44
99.00	41.31	18.06	45.44
100.00	41.60	18.34	45.44
101.00	41.84	18.62	45.44
102.00	42.11	18.90	45.44
103.00	42.36	19.19	45.44
104.00	42.64	19.47	45.44
105.00	42.88	19.75	45.44
106.00	43.19	20.04	45.44
107.00	43.49	20.32	45.44
108.00	43.73	20.61	45.44
109.00	44.01	20.89	45.44
110.00	44.27	21.18	45.44
111.00	44.55	21.47	45.44
112.00	44.81	21.76	45.44
113.00	45.13	22.05	45.44
114.00	45.44	22.34	45.44
115.00	45.69	22.63	45.44
116.00	45.98	22.93	45.44
117.00	46.24	23.22	45.44
118.00	46.53	23.51	45.44
119.00	46.80	23.81	45.44
120.00	47.12	24.10	45.44
121.00	47.43	24.40	45.44
122.00	47.69	24.69	45.44
123.00	47.99	24.99	45.44
124.00	48.25	25.28	45.44
125.00	48.55	25.58	45.44
126.00	48.83	25.88	45.44
