ファイル名：	C:\TAData\菊池_貝良塚\5Sn5Zn_菊池_貝良塚.tad

[ファイル情報]
ファイル名：	5Sn5Zn_菊池_貝良塚.tad
試料名：	5Sn5Zn（菊池貝良塚）
ロット番号：	1
収集日：	24/10/04
収集時間：	14:19:51(+0900)
機種名：	DTG-60
機体番号：	C30564500399TK
雰囲気ガス：	アルゴン
ガス流量：	50[ml/min]
セル：	アルミニウム
試料量：	44.604[mg]
試料分子量：	0.00


[測定プログラム]
[データ取込条件]
サンプリング間隔[ sec ] ：	1.0
収集開始条件：	測定開始と同時に開始
収集終了条件：	測定終了と同時に終了


[温度プログラム]
加熱速度	ホールド温度	ホールド時間
[ﾟC/min ]	[  ﾟC   ]	[  min  ]
20.00	500.0	10
-20.00	30.0	0


[データ]
Time	Temp	DTA	TGA
sec	ﾟC	uV	mg
0.00	23.97	0.07	44.60
1.00	23.98	0.08	44.60
2.00	23.96	0.09	44.60
3.00	24.01	0.10	44.60
4.00	24.05	0.11	44.60
5.00	24.07	0.13	44.60
6.00	24.14	0.16	44.60
7.00	24.19	0.21	44.60
8.00	24.30	0.29	44.60
9.00	24.39	0.41	44.60
10.00	24.54	0.56	44.60
11.00	24.68	0.75	44.60
12.00	24.77	0.99	44.60
13.00	24.90	1.25	44.61
14.00	24.99	1.55	44.61
15.00	25.11	1.86	44.61
16.00	25.21	2.19	44.61
17.00	25.35	2.53	44.61
18.00	25.48	2.87	44.61
19.00	25.55	3.21	44.61
20.00	25.67	3.56	44.61
21.00	25.76	3.89	44.61
22.00	25.88	4.23	44.61
23.00	26.00	4.56	44.61
24.00	26.14	4.89	44.61
25.00	26.29	5.23	44.61
26.00	26.39	5.56	44.61
27.00	26.54	5.89	44.61
28.00	26.65	6.23	44.61
29.00	26.80	6.57	44.61
30.00	26.94	6.91	44.61
31.00	27.10	7.25	44.61
32.00	27.29	7.60	44.61
33.00	27.40	7.95	44.61
34.00	27.56	8.31	44.61
35.00	27.69	8.67	44.61
36.00	27.85	9.03	44.61
37.00	28.01	9.39	44.61
38.00	28.19	9.76	44.61
39.00	28.38	10.12	44.61
40.00	28.51	10.49	44.61
41.00	28.68	10.86	44.61
42.00	28.84	11.22	44.61
43.00	29.01	11.59	44.61
44.00	29.19	11.96	44.61
45.00	29.37	12.33	44.61
46.00	29.58	12.70	44.61
47.00	29.72	13.08	44.61
48.00	29.91	13.45	44.61
49.00	30.08	13.82	44.61
50.00	30.25	14.20	44.61
51.00	30.45	14.57	44.61
52.00	30.65	14.95	44.61
53.00	30.87	15.33	44.61
54.00	31.01	15.71	44.61
55.00	31.22	16.08	44.61
56.00	31.40	16.47	44.61
57.00	31.59	16.85	44.61
58.00	31.80	17.23	44.61
59.00	32.01	17.62	44.61
60.00	32.24	18.01	44.61
61.00	32.41	18.40	44.61
62.00	32.62	18.78	44.61
63.00	32.82	19.18	44.61
64.00	33.01	19.57	44.61
65.00	33.25	19.96	44.61
66.00	33.46	20.34	44.61
67.00	33.71	20.73	44.61
68.00	33.88	21.12	44.61
69.00	34.11	21.51	44.61
70.00	34.32	21.91	44.61
71.00	34.52	22.29	44.61
72.00	34.78	22.69	44.61
73.00	35.01	23.08	44.61
74.00	35.26	23.47	44.61
75.00	35.46	23.86	44.61
76.00	35.69	24.25	44.61
77.00	35.92	24.65	44.61
78.00	36.13	25.04	44.61
79.00	36.41	25.43	44.61
80.00	36.63	25.83	44.61
81.00	36.90	26.22	44.61
82.00	37.10	26.61	44.61
83.00	37.34	27.00	44.61
84.00	37.58	27.40	44.61
85.00	37.79	27.79	44.61
86.00	38.08	28.18	44.61
87.00	38.32	28.58	44.61
88.00	38.59	28.97	44.61
89.00	38.81	29.36	44.61
90.00	39.06	29.76	44.61
91.00	39.31	30.15	44.61
92.00	39.54	30.55	44.61
93.00	39.84	30.94	44.61
94.00	40.08	31.33	44.61
95.00	40.36	31.73	44.61
96.00	40.59	32.13	44.61
97.00	40.85	32.53	44.61
98.00	41.11	32.93	44.61
99.00	41.34	33.33	44.61
100.00	41.64	33.73	44.61
101.00	41.89	34.13	44.61
102.00	42.18	34.53	44.61
103.00	42.42	34.93	44.61
104.00	42.67	35.33	44.61
105.00	42.95	35.73	44.61
106.00	43.18	36.13	44.61
107.00	43.50	36.53	44.61
108.00	43.76	36.93	44.61
109.00	44.05	37.33	44.61
110.00	44.30	37.73	44.61
111.00	44.56	38.13	44.62
112.00	44.85	38.53	44.62
113.00	45.08	38.93	44.62
114.00	45.41	39.33	44.62
115.00	45.68	39.73	44.62
116.00	45.98	40.13	44.62
117.00	46.24	40.53	44.62
118.00	46.50	40.93	44.62
119.00	46.80	41.33	44.62
120.00	47.04	41.73	44.62
121.00	47.38	42.13	44.62
122.00	47.65	42.53	44.62
123.00	47.95	42.93	44.62
124.00	48.22	43.33	44.62
125.00	48.49	43.72	44.62
126.00	48.80	44.12	44.62
127.00	49.05	44.52	44.62
128.00	49.39	44.92	44.62
129.00	49.67	45.32	44.62
130.00	49.97	45.71	44.62
131.00	50.25	46.11	44.62
132.00	50.52	46.51	44.62
133.00	50.83	46.91	44.62
134.00	51.08	47.31	44.62
135.00	51.42	47.71	44.62
136.00	51.72	48.11	44.62
137.00	52.01	48.51	44.62
138.00	52.30	48.91	44.62
139.00	52.57	49.31	44.62
140.00	52.89	49.71	44.62
141.00	53.15	50.12	44.62
142.00	53.49	50.51	44.62
143.00	53.80	50.91	44.62
144.00	54.10	51.31	44.62
145.00	54.39	51.71	44.62
146.00	54.67	52.11	44.62
147.00	54.99	52.51	44.62
148.00	55.26	52.91	44.62
149.00	55.61	53.30	44.62
150.00	55.92	53.70	44.62
151.00	56.21	54.09	44.62
152.00	56.52	54.48	44.62
153.00	56.80	54.88	44.62
154.00	57.12	55.27	44.62
155.00	57.40	55.66	44.62
156.00	57.76	56.05	44.63
157.00	58.07	56.44	44.63
158.00	58.38	56.82	44.63
159.00	58.69	57.21	44.63
160.00	58.97	57.60	44.63
161.00	59.30	57.99	44.63
162.00	59.58	58.37	44.63
163.00	59.94	58.76	44.63
164.00	60.25	59.14	44.63
165.00	60.55	59.53	44.63
166.00	60.87	59.91	44.63
167.00	61.15	60.29	44.63
168.00	61.49	60.68	44.63
169.00	61.78	61.06	44.63
170.00	62.13	61.44	44.63
171.00	62.46	61.82	44.63
172.00	62.75	62.21	44.63
173.00	63.08	62.59	44.63
174.00	63.37	62.97	44.63
175.00	63.70	63.35	44.63
176.00	64.00	63.73	44.63
177.00	64.36	64.12	44.63
178.00	64.69	64.50	44.63
179.00	64.99	64.88	44.63
180.00	65.32	65.26	44.63
181.00	65.62	65.64	44.63
182.00	65.95	66.02	44.63
183.00	66.26	66.39	44.63
184.00	66.62	66.77	44.63
185.00	66.95	67.14	44.63
186.00	67.25	67.51	44.63
187.00	67.59	67.89	44.63
188.00	67.88	68.25	44.63
189.00	68.22	68.62	44.63
190.00	68.54	68.99	44.63
191.00	68.89	69.35	44.63
192.00	69.25	69.72	44.63
193.00	69.55	70.09	44.63
194.00	69.88	70.45	44.63
195.00	70.18	70.81	44.64
196.00	70.52	71.17	44.64
197.00	70.84	71.53	44.64
198.00	71.19	71.89	44.64
199.00	71.53	72.25	44.64
200.00	71.83	72.61	44.64
201.00	72.17	72.96	44.64
202.00	72.47	73.32	44.64
203.00	72.81	73.67	44.64
204.00	73.15	74.02	44.64
205.00	73.49	74.37	44.64
206.00	73.85	74.72	44.64
207.00	74.14	75.07	44.64
208.00	74.48	75.42	44.64
209.00	74.79	75.77	44.64
210.00	75.13	76.11	44.64
211.00	75.48	76.46	44.64
212.00	75.82	76.80	44.64
213.00	76.18	77.14	44.64
214.00	76.48	77.49	44.64
215.00	76.83	77.83	44.64
216.00	77.15	78.17	44.64
217.00	77.48	78.50	44.64
218.00	77.84	78.84	44.64
219.00	78.18	79.17	44.64
220.00	78.55	79.50	44.64
221.00	78.85	79.83	44.64
222.00	79.20	80.15	44.64
223.00	79.52	80.48	44.64
224.00	79.85	80.80	44.64
225.00	80.21	81.13	44.64
226.00	80.55	81.45	44.64
227.00	80.91	81.77	44.64
228.00	81.21	82.09	44.64
229.00	81.56	82.40	44.65
230.00	81.89	82.72	44.65
231.00	82.22	83.03	44.65
232.00	82.59	83.34	44.65
233.00	82.92	83.65	44.65
234.00	83.29	83.96	44.65
235.00	83.59	84.27	44.65
236.00	83.94	84.58	44.65
237.00	84.27	84.88	44.65
238.00	84.59	85.18	44.65
239.00	84.97	85.48	44.65
240.00	85.31	85.77	44.65
241.00	85.67	86.06	44.65
242.00	85.98	86.36	44.65
243.00	86.33	86.64	44.65
244.00	86.67	86.93	44.65
245.00	86.99	87.21	44.65
246.00	87.38	87.49	44.65
247.00	87.71	87.77	44.65
248.00	88.08	88.05	44.65
249.00	88.39	88.33	44.65
250.00	88.74	88.61	44.65
251.00	89.09	88.88	44.65
252.00	89.41	89.15	44.65
253.00	89.81	89.42	44.65
254.00	90.13	89.69	44.65
255.00	90.49	89.96	44.65
256.00	90.81	90.22	44.65
257.00	91.15	90.49	44.65
258.00	91.50	90.75	44.65
259.00	91.82	91.02	44.65
260.00	92.21	91.28	44.65
261.00	92.55	91.54	44.65
262.00	92.91	91.80	44.65
263.00	93.23	92.06	44.65
264.00	93.58	92.32	44.65
265.00	93.93	92.58	44.65
266.00	94.25	92.83	44.65
267.00	94.65	93.08	44.65
268.00	94.99	93.33	44.66
269.00	95.34	93.58	44.66
270.00	95.67	93.83	44.66
271.00	96.01	94.07	44.66
272.00	96.36	94.32	44.66
273.00	96.68	94.56	44.66
274.00	97.09	94.80	44.66
275.00	97.43	95.04	44.66
276.00	97.79	95.27	44.66
277.00	98.12	95.51	44.66
278.00	98.46	95.74	44.66
279.00	98.82	95.98	44.66
280.00	99.14	96.21	44.66
281.00	99.55	96.44	44.66
282.00	99.88	96.67	44.66
283.00	100.23	96.89	44.66
284.00	100.56	97.12	44.66
285.00	100.90	97.35	44.66
286.00	101.26	97.57	44.66
287.00	101.58	97.80	44.66
288.00	101.98	98.02	44.66
289.00	102.32	98.24	44.66
290.00	102.67	98.46	44.66
291.00	103.00	98.69	44.66
292.00	103.34	98.91	44.66
293.00	103.70	99.13	44.66
294.00	104.01	99.34	44.66
295.00	104.41	99.56	44.66
296.00	104.76	99.78	44.66
297.00	105.10	99.99	44.66
298.00	105.45	100.21	44.66
299.00	105.78	100.43	44.66
300.00	106.15	100.64	44.66
301.00	106.48	100.86	44.66
302.00	106.87	101.07	44.66
303.00	107.22	101.29	44.66
304.00	107.57	101.50	44.66
305.00	107.92	101.72	44.66
306.00	108.25	101.93	44.66
307.00	108.62	102.14	44.66
308.00	108.95	102.36	44.66
309.00	109.34	102.57	44.66
310.00	109.70	102.78	44.66
311.00	110.04	102.99	44.66
312.00	110.39	103.20	44.66
313.00	110.72	103.41	44.66
314.00	111.08	103.62	44.66
315.00	111.42	103.83	44.66
316.00	111.81	104.04	44.66
317.00	112.16	104.25	44.66
318.00	112.50	104.46	44.66
319.00	112.86	104.67	44.66
320.00	113.18	104.88	44.66
321.00	113.54	105.09	44.66
322.00	113.89	105.30	44.66
323.00	114.28	105.50	44.66
324.00	114.64	105.71	44.66
325.00	114.97	105.91	44.66
326.00	115.34	106.12	44.66
327.00	115.66	106.32	44.66
328.00	116.02	106.53	44.66
329.00	116.37	106.73	44.66
330.00	116.76	106.93	44.66
331.00	117.13	107.14	44.66
332.00	117.45	107.34	44.66
333.00	117.82	107.54	44.66
334.00	118.15	107.74	44.66
335.00	118.52	107.94	44.66
336.00	118.88	108.14	44.66
