ファイル名：	C:\TAData\菊池_貝良塚\8.5Sn1.5Zn_菊池_貝良塚.tad

[ファイル情報]
ファイル名：	8.5Sn1.5Zn_菊池_貝良塚.tad
試料名：	8.5Sn1.5Zn（菊池貝良塚）
ロット番号：	1
収集日：	24/10/03
収集時間：	14:26:09(+0900)
機種名：	DTG-60
機体番号：	C30564500399TK
雰囲気ガス：	アルゴン
ガス流量：	50[ml/min]
セル：	アルミニウム
試料量：	44.283[mg]
試料分子量：	0.00


[測定プログラム]
[データ取込条件]
サンプリング間隔[ sec ] ：	1.0
収集開始条件：	測定開始と同時に開始
収集終了条件：	測定終了と同時に終了


[温度プログラム]
加熱速度	ホールド温度	ホールド時間
[ﾟC/min ]	[  ﾟC   ]	[  min  ]
20.00	500.0	10
-20.00	30.0	0


[データ]
Time	Temp	DTA	TGA
sec	ﾟC	uV	mg
0.00	23.95	-4.19	44.29
1.00	23.96	-4.19	44.29
2.00	23.95	-4.19	44.28
3.00	23.95	-4.19	44.28
4.00	24.01	-4.19	44.28
5.00	24.05	-4.17	44.28
6.00	24.16	-4.15	44.28
7.00	24.21	-4.09	44.28
8.00	24.33	-4.01	44.28
9.00	24.43	-3.90	44.28
10.00	24.54	-3.74	44.28
11.00	24.71	-3.54	44.28
12.00	24.83	-3.30	44.28
13.00	24.99	-3.03	44.28
14.00	25.07	-2.73	44.28
15.00	25.19	-2.41	44.28
16.00	25.30	-2.07	44.28
17.00	25.40	-1.73	44.28
18.00	25.55	-1.38	44.28
19.00	25.67	-1.03	44.28
20.00	25.81	-0.68	44.29
21.00	25.89	-0.33	44.29
22.00	26.03	0.02	44.29
23.00	26.15	0.37	44.29
24.00	26.27	0.71	44.29
25.00	26.45	1.06	44.29
26.00	26.58	1.41	44.29
27.00	26.75	1.76	44.29
28.00	26.86	2.12	44.28
29.00	27.02	2.48	44.28
30.00	27.17	2.84	44.28
31.00	27.30	3.21	44.28
32.00	27.51	3.58	44.28
33.00	27.66	3.95	44.28
34.00	27.85	4.32	44.28
35.00	27.97	4.70	44.28
36.00	28.15	5.08	44.28
37.00	28.31	5.47	44.28
38.00	28.46	5.85	44.28
39.00	28.69	6.24	44.27
40.00	28.85	6.62	44.27
41.00	29.05	7.01	44.27
42.00	29.19	7.40	44.27
43.00	29.39	7.78	44.27
44.00	29.56	8.17	44.27
45.00	29.72	8.56	44.27
46.00	29.96	8.94	44.27
47.00	30.13	9.33	44.27
48.00	30.35	9.72	44.27
49.00	30.50	10.11	44.27
50.00	30.70	10.50	44.27
51.00	30.89	10.90	44.27
52.00	31.06	11.29	44.27
53.00	31.32	11.68	44.27
54.00	31.50	12.07	44.27
55.00	31.73	12.47	44.27
56.00	31.90	12.86	44.27
57.00	32.11	13.26	44.27
58.00	32.31	13.66	44.27
59.00	32.50	14.06	44.27
60.00	32.77	14.45	44.27
61.00	32.97	14.85	44.27
62.00	33.20	15.25	44.27
63.00	33.39	15.65	44.27
64.00	33.61	16.05	44.27
65.00	33.83	16.44	44.27
66.00	34.03	16.84	44.27
67.00	34.30	17.24	44.27
68.00	34.51	17.63	44.27
69.00	34.77	18.03	44.27
70.00	34.97	18.43	44.27
71.00	35.20	18.83	44.27
72.00	35.43	19.23	44.27
73.00	35.64	19.62	44.27
74.00	35.93	20.02	44.27
75.00	36.15	20.42	44.27
76.00	36.41	20.81	44.27
77.00	36.62	21.21	44.27
78.00	36.86	21.61	44.27
79.00	37.12	22.01	44.27
80.00	37.33	22.40	44.27
81.00	37.63	22.80	44.27
82.00	37.86	23.20	44.27
83.00	38.13	23.60	44.27
84.00	38.36	24.00	44.27
85.00	38.61	24.39	44.27
86.00	38.87	24.79	44.27
87.00	39.09	25.19	44.27
88.00	39.40	25.58	44.27
89.00	39.65	25.98	44.27
90.00	39.93	26.37	44.27
91.00	40.15	26.77	44.27
92.00	40.41	27.17	44.27
93.00	40.67	27.57	44.27
94.00	40.90	27.96	44.27
95.00	41.21	28.36	44.27
96.00	41.47	28.76	44.27
97.00	41.75	29.15	44.27
98.00	41.99	29.55	44.27
99.00	42.25	29.95	44.27
100.00	42.53	30.34	44.27
101.00	42.75	30.74	44.27
102.00	43.07	31.13	44.27
103.00	43.34	31.53	44.27
104.00	43.62	31.93	44.27
105.00	43.87	32.33	44.27
106.00	44.14	32.72	44.27
107.00	44.43	33.12	44.26
108.00	44.67	33.52	44.26
109.00	45.00	33.92	44.26
110.00	45.28	34.32	44.26
111.00	45.56	34.72	44.26
112.00	45.82	35.12	44.26
113.00	46.10	35.52	44.26
