[ÉfÅ[É^]			
Time	Temp	DTA	TGA
sec	ﬂC	uV	mg
0	25.13	-1.93	26.38
1	25.16	-1.94	26.38
2	25.17	-1.95	26.38
3	25.19	-1.95	26.38
4	25.21	-1.96	26.38
5	25.21	-1.95	26.38
6	25.3	-1.93	26.38
7	25.35	-1.89	26.38
8	25.48	-1.82	26.38
9	25.62	-1.7	26.38
10	25.73	-1.54	26.38
11	25.87	-1.32	26.38
12	25.95	-1.05	26.38
13	26.09	-0.72	26.38
14	26.18	-0.36	26.38
15	26.33	0.04	26.38
16	26.47	0.48	26.38
17	26.56	0.93	26.38
18	26.69	1.41	26.38
19	26.76	1.89	26.38
20	26.89	2.38	26.38
21	26.99	2.88	26.38
22	27.13	3.38	26.38
23	27.29	3.87	26.38
24	27.39	4.37	26.38
25	27.53	4.87	26.38
26	27.64	5.37	26.38
27	27.79	5.87	26.38
28	27.92	6.37	26.38
29	28.08	6.88	26.38
30	28.27	7.39	26.38
31	28.39	7.91	26.38
32	28.55	8.43	26.38
33	28.69	8.96	26.38
34	28.84	9.5	26.38
35	29.01	10.03	26.38
36	29.18	10.57	26.38
37	29.38	11.11	26.38
38	29.52	11.66	26.38
39	29.68	12.2	26.38
40	29.84	12.75	26.38
41	30	13.3	26.38
42	30.18	13.85	26.38
43	30.36	14.4	26.38
44	30.56	14.94	26.38
45	30.72	15.5	26.38
46	30.88	16.05	26.38
47	31.07	16.6	26.38
48	31.23	17.15	26.38
49	31.44	17.7	26.38
50	31.63	18.25	26.38
51	31.85	18.81	26.38
52	32.02	19.36	26.38
53	32.19	19.92	26.38
54	32.4	20.48	26.38
55	32.56	21.03	26.38
56	32.78	21.59	26.38
57	32.99	22.14	26.38
58	33.2	22.69	26.38
59	33.4	23.25	26.38
60	33.59	23.8	26.38
61	33.8	24.35	26.38
62	33.97	24.9	26.38
63	34.21	25.45	26.38
64	34.44	26	26.38
65	34.66	26.55	26.38
66	34.87	27.1	26.38
67	35.06	27.64	26.38
68	35.3	28.19	26.38
69	35.48	28.74	26.38
70	35.73	29.28	26.38
71	35.97	29.83	26.38
72	36.2	30.38	26.38
73	36.43	30.92	26.38
74	36.62	31.47	26.38
75	36.87	32.01	26.38
76	37.07	32.55	26.38
77	37.34	33.09	26.38
78	37.59	33.64	26.38
79	37.82	34.17	26.38
