ファイル名：	C:\TAData\菊池_貝良塚\Zn単体_菊池_貝良塚.tad

[ファイル情報]
ファイル名：	Zn単体_菊池_貝良塚.tad
試料名：	Zn単体（菊池貝良塚）
ロット番号：	1
収集日：	24/09/27
収集時間：	14:23:12(+0900)
機種名：	DTG-60
機体番号：	C30564500399TK
雰囲気ガス：	アルゴン
ガス流量：	50[ml/min]
セル：	アルミニウム
試料量：	22.559[mg]
試料分子量：	0.00


[測定プログラム]
[データ取込条件]
サンプリング間隔[ sec ] ：	1.0
収集開始条件：	測定開始と同時に開始
収集終了条件：	測定終了と同時に終了


[温度プログラム]
加熱速度	ホールド温度	ホールド時間
[ﾟC/min ]	[  ﾟC   ]	[  min  ]
20.00	500.0	10
-20.00	30.0	0


[データ]
Time	Temp	DTA	TGA
sec	ﾟC	uV	mg
0.00	23.87	1.72	22.56
1.00	23.85	1.73	22.56
2.00	23.89	1.73	22.56
3.00	23.91	1.74	22.56
4.00	23.93	1.75	22.56
5.00	23.99	1.77	22.56
6.00	24.03	1.81	22.56
7.00	24.15	1.88	22.56
8.00	24.23	1.98	22.56
9.00	24.39	2.13	22.56
10.00	24.52	2.33	22.56
11.00	24.62	2.59	22.56
12.00	24.75	2.89	22.56
13.00	24.83	3.24	22.56
14.00	24.97	3.64	22.56
15.00	25.06	4.06	22.56
16.00	25.21	4.52	22.56
17.00	25.34	5.00	22.56
18.00	25.43	5.49	22.56
19.00	25.55	5.99	22.56
20.00	25.64	6.50	22.56
21.00	25.77	7.01	22.56
22.00	25.88	7.52	22.56
23.00	26.05	8.03	22.56
24.00	26.18	8.55	22.56
25.00	26.30	9.07	22.56
26.00	26.44	9.59	22.56
27.00	26.55	10.12	22.56
28.00	26.71	10.65	22.56
29.00	26.84	11.19	22.56
30.00	27.03	11.73	22.56
31.00	27.19	12.28	22.56
32.00	27.32	12.83	22.56
33.00	27.49	13.39	22.56
34.00	27.62	13.95	22.56
35.00	27.78	14.51	22.56
36.00	27.93	15.08	22.56
37.00	28.13	15.64	22.56
38.00	28.31	16.22	22.56
39.00	28.45	16.79	22.56
40.00	28.64	17.37	22.56
41.00	28.77	17.95	22.56
42.00	28.96	18.52	22.56
43.00	29.12	19.10	22.56
44.00	29.34	19.69	22.56
45.00	29.53	20.27	22.56
46.00	29.69	20.85	22.56
47.00	29.89	21.44	22.56
48.00	30.04	22.02	22.56
49.00	30.23	22.61	22.56
50.00	30.42	23.20	22.56
51.00	30.63	23.79	22.56
52.00	30.84	24.38	22.56
53.00	31.00	24.97	22.56
54.00	31.21	25.56	22.56
55.00	31.38	26.16	22.56
56.00	31.59	26.75	22.56
57.00	31.79	27.35	22.56
58.00	32.02	27.94	22.56
59.00	32.23	28.54	22.56
60.00	32.41	29.13	22.56
61.00	32.63	29.73	22.56
62.00	32.81	30.33	22.56
63.00	33.03	30.92	22.56
64.00	33.24	31.52	22.56
65.00	33.49	32.12	22.56
66.00	33.72	32.71	22.56
67.00	33.91	33.31	22.56
68.00	34.14	33.91	22.56
69.00	34.33	34.50	22.56
70.00	34.56	35.10	22.56
71.00	34.79	35.69	22.56
72.00	35.04	36.29	22.56
73.00	35.29	36.88	22.56
74.00	35.48	37.47	22.56
75.00	35.73	38.07	22.56
76.00	35.93	38.66	22.56
77.00	36.18	39.25	22.56
78.00	36.42	39.84	22.56
79.00	36.67	40.43	22.56
80.00	36.94	41.02	22.56
81.00	37.14	41.61	22.56
82.00	37.40	42.20	22.56
83.00	37.61	42.79	22.56
84.00	37.86	43.38	22.56
85.00	38.12	43.97	22.56
86.00	38.38	44.56	22.56
87.00	38.66	45.15	22.56
88.00	38.87	45.74	22.56
89.00	39.14	46.33	22.56
90.00	39.36	46.92	22.56
91.00	39.63	47.50	22.56
92.00	39.89	48.09	22.56
93.00	40.16	48.68	22.56
94.00	40.44	49.26	22.57
95.00	40.66	49.85	22.57
96.00	40.93	50.44	22.57
97.00	41.16	51.03	22.57
98.00	41.43	51.61	22.57
99.00	41.70	52.20	22.57
100.00	41.97	52.79	22.57
101.00	42.27	53.37	22.57
102.00	42.50	53.96	22.57
103.00	42.77	54.54	22.57
104.00	43.02	55.13	22.57
105.00	43.28	55.71	22.57
106.00	43.57	56.30	22.57
107.00	43.85	56.88	22.57
108.00	44.15	57.46	22.57
109.00	44.37	58.04	22.57
110.00	44.66	58.62	22.57
111.00	44.92	59.20	22.57
112.00	45.19	59.78	22.57
113.00	45.49	60.35	22.57
114.00	45.78	60.93	22.57
115.00	46.08	61.51	22.57
116.00	46.33	62.09	22.57
117.00	46.62	62.66	22.57
118.00	46.88	63.24	22.57
119.00	47.16	63.81	22.57
120.00	47.47	64.39	22.57
121.00	47.76	64.96	22.57
122.00	48.08	65.53	22.57
123.00	48.32	66.11	22.57
124.00	48.63	66.68	22.57
125.00	48.90	67.25	22.57
126.00	49.18	67.83	22.57
127.00	49.51	68.40	22.57
128.00	49.80	68.97	22.57
129.00	50.12	69.53	22.57
130.00	50.37	70.10	22.57
131.00	50.67	70.67	22.57
132.00	50.95	71.23	22.57
133.00	51.22	71.80	22.57
134.00	51.55	72.36	22.57
135.00	51.84	72.92	22.57
136.00	52.16	73.47	22.57
137.00	52.42	74.03	22.57
138.00	52.73	74.58	22.57
139.00	53.02	75.13	22.57
140.00	53.30	75.68	22.57
141.00	53.64	76.23	22.57
142.00	53.93	76.77	22.57
143.00	54.25	77.31	22.57
144.00	54.52	77.86	22.57
145.00	54.82	78.39	22.57
146.00	55.12	78.93	22.57
147.00	55.40	79.47	22.57
148.00	55.76	80.01	22.57
149.00	56.05	80.54	22.57
150.00	56.38	81.08	22.57
151.00	56.66	81.61	22.57
152.00	56.97	82.14	22.57
153.00	57.28	82.67	22.57
154.00	57.56	83.20	22.57
155.00	57.92	83.73	22.57
156.00	58.21	84.26	22.57
157.00	58.55	84.78	22.57
158.00	58.83	85.31	22.57
159.00	59.15	85.83	22.57
160.00	59.46	86.35	22.57
161.00	59.75	86.87	22.57
162.00	60.11	87.39	22.57
163.00	60.41	87.91	22.57
164.00	60.74	88.42	22.58
165.00	61.03	88.94	22.58
166.00	61.34	89.45	22.58
167.00	61.65	89.96	22.58
168.00	61.93	90.47	22.58
169.00	62.30	90.98	22.58
170.00	62.60	91.48	22.58
171.00	62.93	91.99	22.58
172.00	63.23	92.49	22.58
173.00	63.55	93.00	22.58
174.00	63.87	93.50	22.58
175.00	64.16	94.00	22.58
176.00	64.53	94.49	22.58
177.00	64.83	94.99	22.58
178.00	65.18	95.48	22.58
179.00	65.47	95.98	22.58
180.00	65.79	96.47	22.58
181.00	66.12	96.96	22.58
182.00	66.41	97.45	22.58
183.00	66.79	97.94	22.58
184.00	67.11	98.43	22.58
185.00	67.45	98.92	22.58
186.00	67.75	99.40	22.58
187.00	68.07	99.89	22.58
188.00	68.41	100.37	22.58
189.00	68.69	100.85	22.58
190.00	69.08	101.33	22.58
191.00	69.40	101.80	22.58
192.00	69.73	102.27	22.58
193.00	70.04	102.75	22.58
194.00	70.35	103.22	22.58
195.00	70.69	103.69	22.58
196.00	70.98	104.15	22.58
197.00	71.36	104.62	22.58
198.00	71.69	105.08	22.58
199.00	72.03	105.54	22.58
200.00	72.33	106.00	22.58
201.00	72.65	106.46	22.58
202.00	72.99	106.91	22.58
203.00	73.28	107.36	22.58
204.00	73.67	107.82	22.58
205.00	74.00	108.27	22.59
206.00	74.33	108.72	22.59
207.00	74.65	109.16	22.59
208.00	74.98	109.61	22.59
209.00	75.32	110.05	22.59
210.00	75.61	110.50	22.59
211.00	76.00	110.93	22.59
212.00	76.33	111.37	22.59
213.00	76.67	111.81	22.59
214.00	76.99	112.24	22.59
215.00	77.31	112.67	22.59
216.00	77.66	113.10	22.59
217.00	77.96	113.53	22.59
218.00	78.35	113.95	22.59
219.00	78.68	114.38	22.59
220.00	79.03	114.79	22.59
221.00	79.36	115.21	22.59
222.00	79.68	115.63	22.59
223.00	80.02	116.04	22.59
224.00	80.32	116.45	22.59
225.00	80.71	116.85	22.59
226.00	81.04	117.26	22.59
227.00	81.37	117.66	22.59
228.00	81.71	118.06	22.59
229.00	82.02	118.45	22.59
230.00	82.37	118.85	22.59
231.00	82.68	119.24	22.59
232.00	83.07	119.62	22.59
233.00	83.40	120.01	22.59
234.00	83.74	120.39	22.59
235.00	84.08	120.77	22.59
236.00	84.39	121.15	22.59
237.00	84.75	121.52	22.59
238.00	85.06	121.89	22.60
239.00	85.44	122.26	22.60
240.00	85.78	122.63	22.60
241.00	86.12	122.99	22.60
242.00	86.46	123.35	22.60
243.00	86.78	123.71	22.60
244.00	87.14	124.07	22.60
245.00	87.46	124.42	22.60
246.00	87.84	124.77	22.60
247.00	88.20	125.12	22.60
248.00	88.53	125.47	22.60
249.00	88.88	125.81	22.60
250.00	89.19	126.16	22.60
251.00	89.56	126.50	22.60
252.00	89.87	126.84	22.60
253.00	90.26	127.18	22.60
254.00	90.61	127.51	22.60
255.00	90.94	127.85	22.60
256.00	91.29	128.18	22.60
257.00	91.60	128.51	22.60
258.00	91.96	128.84	22.60
259.00	92.28	129.16	22.60
260.00	92.66	129.48	22.60
261.00	93.01	129.80	22.60
262.00	93.34	130.11	22.60
263.00	93.69	130.43	22.60
264.00	94.00	130.73	22.60
265.00	94.37	131.04	22.60
266.00	94.69	131.34	22.60
267.00	95.07	131.64	22.60
268.00	95.44	131.94	22.60
269.00	95.76	132.24	22.60
270.00	96.11	132.53	22.60
271.00	96.43	132.83	22.60
272.00	96.79	133.12	22.60
273.00	97.12	133.41	22.60
274.00	97.50	133.70	22.60
275.00	97.87	133.99	22.60
276.00	98.20	134.27	22.60
277.00	98.55	134.55	22.60
278.00	98.88	134.83	22.60
279.00	99.24	135.11	22.60
280.00	99.58	135.39	22.60
281.00	99.95	135.66	22.60
282.00	100.31	135.94	22.60
283.00	100.62	136.21	22.60
284.00	100.98	136.48	22.61
285.00	101.30	136.74	22.61
286.00	101.65	137.01	22.61
287.00	101.99	137.28	22.61
288.00	102.37	137.54	22.61
289.00	102.73	137.80	22.61
290.00	103.05	138.07	22.61
291.00	103.41	138.33	22.61
292.00	103.74	138.59	22.61
293.00	104.09	138.85	22.61
294.00	104.43	139.11	22.61
295.00	104.80	139.37	22.61
296.00	105.17	139.62	22.61
297.00	105.49	139.88	22.61
298.00	105.85	140.13	22.61
299.00	106.18	140.38	22.61
300.00	106.53	140.64	22.61
301.00	106.88	140.89	22.61
302.00	107.25	141.14	22.61
303.00	107.63	141.39	22.61
304.00	107.95	141.64	22.61
305.00	108.31	141.89	22.61
306.00	108.64	142.14	22.61
307.00	108.99	142.39	22.61
308.00	109.36	142.64	22.61
309.00	109.71	142.89	22.61
310.00	110.09	143.13	22.61
311.00	110.40	143.38	22.61
312.00	110.76	143.63	22.61
313.00	111.09	143.87	22.61
314.00	111.44	144.12	22.61
315.00	111.81	144.36	22.61
316.00	112.17	144.60	22.61
317.00	112.54	144.84	22.61
318.00	112.86	145.09	22.61
319.00	113.21	145.33	22.61
320.00	113.55	145.56	22.61
321.00	113.89	145.80	22.61
322.00	114.27	146.04	22.61
323.00	114.62	146.27	22.61
324.00	114.99	146.50	22.61
325.00	115.31	146.73	22.61
326.00	115.68	146.95	22.61
327.00	116.01	147.17	22.61
328.00	116.35	147.39	22.61
329.00	116.74	147.61	22.61
330.00	117.08	147.82	22.61
331.00	117.46	148.04	22.61
332.00	117.79	148.25	22.61
333.00	118.14	148.47	22.61
334.00	118.49	148.68	22.61
335.00	118.83	148.90	22.61
336.00	119.22	149.11	22.62
337.00	119.56	149.32	22.62
338.00	119.94	149.54	22.62
339.00	120.26	149.76	22.62
340.00	120.61	149.97	22.62
341.00	120.96	150.19	22.62
